No,Story Category,Keywords,Typical Persona,Good Story Example,Bad Story Example,AC Format,AC Example,INVEST Issues to Watch,SaaS Context Notes
11,Search & Filter,"search, filter, sort, find, query, lookup, browse, full-text","All Users","As a customer success manager, I want to search and filter accounts by health score and renewal date so that I can prioritize at-risk accounts without manually scanning the list.","As a user, I want to search.","Checklist","- [ ] Search returns results within 500ms for queries against 1M records\n- [ ] Filters can be combined (AND logic by default, OR optional)\n- [ ] Active filters shown as removable chips\n- [ ] Results update in real-time as filter values change\n- [ ] Empty search results show helpful guidance and suggested terms","Estimable: full-text search vs simple filter have very different complexity","Power users define their value through search. Poor search drives support tickets and churn."
12,User & Admin Management,"admin, user management, rbac, permission, role, deactivate, audit","Admin, IT Admin, Security","As an IT admin, I want to deactivate a user's account immediately when they leave the company so that their access is revoked before they can access any company data.","As an admin, I want to manage users.","Given/When/Then","- Given an admin deactivates a user, when the action is confirmed, then all active sessions for that user are invalidated within 60 seconds\n- [ ] Deactivated user's data is preserved (not deleted) and transferable to another user\n- [ ] Admin sees audit log entry for the deactivation action\n- [ ] Deactivated user sees a clear message on their next login attempt","Independent: user deactivation is separate from role management and user invitation","Enterprise: offboarding speed is a security requirement. 60-second session invalidation is non-negotiable."
13,Integrations,"integration, connect, webhook, api, sync, third-party, zapier, slack, salesforce, jira","Power User, Admin, Developer","As a sales ops manager, I want to sync our tool's deal data to Salesforce automatically so that I don't maintain two separate systems of record.","As a user, I want Salesforce integration.","Checklist + Given/When/Then","- [ ] OAuth connection flow completes in <3 steps\n- [ ] Sync runs automatically every 15 minutes or on-demand\n- [ ] Sync errors shown in an integration health dashboard with retry option\n- Given a Salesforce field is deleted, when sync runs, then the integration flags it as a configuration error (not silently drops data)\n- [ ] User can map custom fields","Estimable: needs spike on Salesforce API limits and data model mapping","Integration reliability is a trust issue. Silent sync failures destroy data integrity trust."
14,AI-Assisted Features,"ai, assist, suggest, automate, generate, recommend, predict, smart, intelligent","Power User, All Users","As a product manager, I want the AI to suggest acceptance criteria for my user story based on the story description so that I can write comprehensive ACs faster without starting from scratch.","As a user, I want AI to help.","Checklist + Given/When/Then","- [ ] AI suggestion appears within 3 seconds of triggering\n- [ ] User can accept all, accept individual items, or dismiss the suggestion\n- [ ] User can edit any AI-generated content before saving\n- Given the AI confidence is low, when generating suggestions, then the output is labeled 'low confidence — please review'\n- [ ] All AI-generated content is stored with provenance metadata","Estimable: needs spike on LLM latency and token cost; split into generation vs. refinement","AI features must have a clear fallback when confidence is low. Never replace user intent silently."
15,Reporting & Analytics,"report, analytics, chart, graph, trend, export, insight, visualization","Manager, Analyst, Executive","As an executive, I want a weekly summary report emailed to me every Monday so that I can review KPI trends without logging in to the tool.","As a user, I want reports.","Checklist","- [ ] Report generated at 8am user's local timezone every Monday\n- [ ] Report includes delta vs prior week for each KPI\n- [ ] User can configure which metrics appear in the report\n- [ ] Email includes a 'View full report' link that deep-links to the in-product dashboard\n- [ ] Report skipped if no new data was generated in the week","Small: scheduled reports vs ad-hoc reports vs exported reports are separate stories","B2B: executives use reports as the primary touchpoint. Digest emails drive retention and perceived value."
16,Empty States,"empty, zero state, no data, first time, blank, placeholder","New User, Any User","As a new user who hasn't created any projects yet, I want to see a helpful empty state with a clear first action so that I know what to do next and don't feel lost.","(Often not written as a story — which is the problem)","Checklist","- [ ] Empty state shows a brief explanation of what would appear here\n- [ ] Primary CTA button guides the user to their first action\n- [ ] Illustration or icon provides visual context (not just blank white space)\n- [ ] Empty state is distinct from a loading state and an error state","Valuable: empty states directly impact activation rate for new users","The most commonly skipped UI state. Causes new users to churn before activating."
17,Error Recovery,"error, failure, retry, fallback, undo, recover, broken, crash","All Users","As a user who encounters an error during a form submission, I want to see a clear error message with a way to retry so that I don't lose my entered data and can resolve the issue myself.","(Often not written — handled ad hoc in dev)","Given/When/Then","- Given the API call fails, when the error occurs, then an inline error message appears explaining the issue in plain language\n- [ ] Error message includes suggested action (retry, contact support, check docs)\n- [ ] User's form data is preserved after an error\n- [ ] Retry button triggers the same action without requiring re-entry\n- [ ] Persistent errors after 3 retries prompt the user to contact support","Testable: must define specific error messages for each failure mode","Poor error handling generates support tickets and destroys trust. Each error message should be written like support copy."
18,Mobile / Responsive,"mobile, responsive, tablet, ios, android, touch, viewport","Mobile User, Field Worker","As a field sales rep, I want to log a call note on my phone immediately after a meeting so that I capture accurate information while it's fresh, without waiting until I'm at my desk.","As a user, I want a mobile view.","Checklist","- [ ] Core workflows complete on 375px viewport without horizontal scroll\n- [ ] Touch targets are minimum 44x44px (WCAG 2.5.5)\n- [ ] Form inputs don't zoom in on focus (font-size 16px minimum)\n- [ ] Critical actions accessible within 1 thumb-reach on a standard phone\n- [ ] Offline: unsaved form data persisted locally and synced on reconnect","Independent: mobile layout is separate from native app stories","Responsive is table stakes for PLG — signup and onboarding flows are frequently started on mobile."
19,Accessibility,"accessibility, a11y, wcag, screen reader, keyboard, aria, contrast, disability","User with Disability, Compliance Officer","As a keyboard-only user, I want to navigate the entire application using Tab and arrow keys so that I can use the product effectively without relying on a mouse.","(Rarely written as a story — treated as done when visuals look fine)","Checklist","- [ ] All interactive elements reachable via Tab in logical order\n- [ ] Focus state visible on all interactive elements (ring outline)\n- [ ] All icons used as buttons have aria-label\n- [ ] Color is not the sole indicator of state (add icon or text)\n- [ ] Screen reader announces dynamic content changes via aria-live","Testable: each criterion is objectively verifiable","WCAG 2.1 AA is a legal requirement in the EU and increasingly in US federal contracts. Enterprise buyers ask for VPAT."
20,Developer / API Features,"api, developer, sdk, webhook, token, oauth, rate limit, documentation","Developer, Integration Engineer","As a developer integrating our product, I want clear API error messages with an error code and documentation link so that I can resolve integration issues without filing a support ticket.","As a developer, I want an API.","Checklist + Given/When/Then","- [ ] API error responses follow the format: {error_code, message, docs_url}\n- [ ] Error codes are stable across API versions (not subject to change)\n- [ ] Rate limit remaining returned in response headers (X-RateLimit-Remaining)\n- Given the developer exceeds the rate limit, when the API is called, then a 429 response is returned with Retry-After header\n- [ ] All new endpoints documented in OpenAPI spec before GA","Estimable: error message system vs full API versioning vs SDK are separate stories","Developer experience IS the product for API-first SaaS. Documentation quality is a direct conversion driver."
