"No","Pattern Name","Platform","Keywords","Category","Description","When to Use","PRD Guidance","Good Example","Bad Example","Accessibility Note"
"11","Onboarding Carousel / Walkthrough","iOS + Android","onboarding, walkthrough, tutorial, carousel, intro screens, first run, welcome","Onboarding","A series of 3-5 swipeable screens shown on first launch, each highlighting a key feature or value proposition. Ends with a CTA to get started.","First app launch for new users. Must be skippable. Should convey value, not instructions. Best when each screen has one clear message with an illustration.","PRD should specify: number of screens (3-5 max), content per screen (headline + subtext + illustration), skip button always visible, progress indicator (dots), final CTA ('Get Started'), whether to show again if user reinstalls (no — use backend flag).","Duolingo: 3 screens showing core value (learn a language), social proof (500M+ learners), and personalization (choose your language). Takes <30 seconds.","10-screen tutorial explaining every button in the app. No skip button. Each screen has 200+ words of text. User must swipe through all to access the app.","Carousel must be navigable via VoiceOver swipe gestures. Page indicator dots need accessible labels ('Page 1 of 3'). Skip button must be easily discoverable."
"12","Contextual Coach Marks","iOS + Android","coach mark, tooltip, spotlight, feature discovery, hint, guided tour, new feature","Onboarding","Overlay highlighting a specific UI element with a brief tooltip explaining its purpose. Shown once per user for new features. Dismissed by tapping anywhere.","Introducing a new feature to existing users. Drawing attention to a feature that's hard to discover. Preferable to full walkthroughs for incremental feature education.","PRD should specify: which elements get coach marks, copy for each tooltip (<20 words), trigger condition (first time user sees the screen), dismissal behavior (tap anywhere or 'Got it' button), persistence (show once, never again per user).","Spotify: When podcasts launched, a coach mark highlighted the Podcasts tab with 'New! Browse and listen to podcasts here' — shown once, dismissed on tap.","12 coach marks appearing in sequence, blocking the entire app. Or: coach marks that reappear every time the user visits the screen.","Coach mark overlay must not trap VoiceOver focus. Tooltip text must be announced. Dismiss button must be focusable."
"13","Haptic Feedback","iOS + Android","haptic, vibration, feedback, tactile, touch feedback, force touch, 3d touch","Interaction","Subtle physical feedback (vibration) confirming user actions: successful completion, errors, selection changes, threshold crossings. Uses the device's haptic engine.","Confirming non-visual actions (toggle switch, pull-to-refresh threshold, swipe completion), communicating errors, enhancing gesture feedback. Use sparingly — overuse desensitizes users.","PRD should specify: which actions trigger haptic feedback, feedback type (light/medium/heavy impact, success, error, selection), platform-specific implementation (UIFeedbackGenerator on iOS, HapticFeedbackConstants on Android). Include in acceptance criteria for gesture-based stories.","Apple Pay: Success haptic after payment confirmation. Toggle switches give a light impact haptic. Pull-to-refresh triggers at the release threshold.","Haptic on every button tap (desensitizes the user). Or: no haptic feedback at all on gesture-based interactions where visual confirmation is insufficient.","Haptic feedback supplements but does not replace visual and auditory feedback. Users with motor impairments may have device haptics disabled."
"14","Adaptive Layout / Responsive Grid","iOS + Android","layout, grid, responsive, adaptive, size class, orientation, tablet, foldable, compact, regular","Layout","Layout system that adapts to different screen sizes, orientations, and device form factors. Uses relative sizing, constraint-based layout, and breakpoints rather than fixed pixel dimensions.","All mobile apps. Must handle: different phone sizes (SE to Pro Max), orientation changes, iPad/tablet, foldable devices, Dynamic Type scaling. Minimum: portrait phone optimization.","PRD should specify: supported orientations (portrait-only for V1 is acceptable), layout behavior for key screens on different size classes (compact phone, regular tablet), whether landscape is supported, text scaling support (Dynamic Type on iOS, font scaling on Android).","Twitter/X: Same app works on iPhone SE, iPhone 15 Pro Max, iPad (with sidebar navigation), and in both orientations. Content reflows gracefully.","Fixed-width layout that looks tiny on a large phone and requires horizontal scrolling on a small phone. Or: portrait-only app that shows a blank screen in landscape.","Dynamic Type / font scaling must be supported. Layout must not break when system font size is set to maximum. Touch targets must remain ≥44pt even at large text sizes."
"15","Dark Mode Support","iOS + Android","dark mode, dark theme, night mode, appearance, light mode, color scheme, dynamic color","Visual Design","Full support for system-wide dark mode preference. All screens adapt colors when the user's device is set to dark mode. Uses semantic colors that respond to appearance changes.","All apps targeting iOS 13+ and Android 10+. Dark mode is expected by users (50%+ of mobile users use dark mode). Apple and Google recommend supporting it.","PRD should specify: dark mode support as a non-functional requirement. Use semantic/dynamic colors in design system. Test all screens in both modes. Handle images and illustrations (ensure they work on dark backgrounds). Support manual toggle in app settings in addition to following system setting.","Apple Music: Seamless dark mode. All text, backgrounds, and images adapt. Album artwork looks great on both dark and light backgrounds.","Inverted colors that make text unreadable. White text on light gray backgrounds in dark mode. Images with white backgrounds that look jarring.","Ensure sufficient contrast ratios (4.5:1) in BOTH light and dark modes. Some users use dark mode for visual accessibility — poor dark mode contrast defeats the purpose."
"16","App Shortcuts / Quick Actions","iOS + Android","shortcut, quick action, 3d touch, long press icon, app shortcut, static shortcut, dynamic shortcut","Engagement","Actions available from the app icon via long-press (iOS) or long-press + suggested actions (Android). Provides direct paths to key features without opening the app first.","Apps with 2-4 frequently used actions: compose message, start workout, scan QR code, new note. Reduces time-to-action for returning users.","PRD should specify: which actions are available as shortcuts (2-4 max), shortcut labels and icons, whether shortcuts are static (always available) or dynamic (based on user behavior), deep link destination for each shortcut.","WhatsApp: Long-press icon shows 'New Chat', 'Search', 'QR Code', 'Camera'. Each opens directly to that feature, saving 2-3 taps.","No shortcuts at all (missed opportunity). Or: 8 shortcuts listed — too many defeats the purpose of quick access.","Shortcuts must have descriptive labels readable by VoiceOver/TalkBack. Icons should be recognizable at small size."
"17","Biometric Unlock for Sensitive Content","iOS + Android","biometric, face id, touch id, fingerprint, secure screen, sensitive data, privacy screen","Security","Using biometric authentication to protect specific screens or actions within the app, beyond initial app unlock. Protects sensitive data if the phone is unlocked and someone else has access.","Banking apps (account details, transfers), health apps (medical records), enterprise apps (confidential documents), note apps (private notes). Any screen showing data the user might want to protect even on an unlocked device.","PRD should specify: which screens or actions require biometric verification, session timeout (re-verify after N minutes of inactivity), fallback method (PIN/password), behavior on app backgrounding (show privacy screen / blur), behavior if biometric fails N times.","Signal: Biometric lock option for the entire app. When enabled, a privacy screen (blurred) is shown in the app switcher. Biometric required every time the app is opened.","Showing all sensitive data without any protection. Or: requiring biometric for every single tap (too aggressive, kills usability).","Biometric prompts must announce their purpose to screen readers. Fallback PIN/password must be accessible. Privacy screen in app switcher should not block accessibility features."
"18","Progressive Disclosure","iOS + Android","progressive disclosure, show more, expand, collapse, detail, summary, advanced options","Information Architecture","Showing only essential information initially, with the option to reveal more detail on demand. Reduces cognitive load on small screens.","Any screen with >5 data points or settings. Complex forms, product detail pages, settings screens. Essential for mobile where screen space is limited.","PRD should specify: which information is shown by default (primary) vs hidden (secondary), interaction to reveal more (tap 'Show More', expand section, navigate to detail), how much content to show before truncation, whether expanded state is remembered.","Amazon: Product page shows title, price, rating, and delivery date above the fold. Description, specs, reviews are in expandable sections below — user taps to expand what they care about.","All 50 product attributes shown in a long scrolling page with no hierarchy. Or: critical information hidden behind 3 levels of navigation.","Expandable sections must be operable via VoiceOver/TalkBack. State changes ('expanded'/'collapsed') must be announced. Hidden content must be accessible when revealed."
"19","Error State Design","iOS + Android","error, failure, retry, connection error, server error, timeout, something went wrong","Feedback","How the app communicates errors to users. Must be clear (what went wrong), helpful (what to do about it), and non-technical (no error codes or stack traces in user-facing messages).","Every API call, form submission, file upload, sync operation, and network-dependent action. Every feature needs an error state designed explicitly.","PRD should specify: error message copy for each failure scenario (network, server, validation, permission), retry behavior (auto-retry vs manual button), error persistence (inline vs full-screen), whether to preserve user input during form errors, logging of error events for analytics.","Slack: 'Couldn't send your message. Tap to retry.' Shown inline below the message. Original text preserved. Retry on tap. Automatic retry in background.","'Error 500: Internal Server Error' — or worse, a blank screen with no indication that something went wrong. User doesn't know if the action succeeded or failed.","Error messages must be announced to screen readers immediately (aria-live='assertive'). Retry button must be focusable. Don't use only red color to indicate errors."
"20","Gesture-Based Navigation","iOS + Android","gesture nav, edge swipe, back gesture, swipe back, bottom bar, navigation gesture","Navigation","Modern mobile navigation using swipe gestures instead of (or in addition to) button taps. iOS: edge swipe to go back. Android: bottom gesture bar (swipe up for home, swipe from edge for back).","All apps must support platform-standard navigation gestures. Custom gestures should supplement, not replace, standard navigation. Critical for apps with multi-level navigation hierarchies.","PRD should specify: which screens support edge swipe back (all by default on iOS), full-screen swipe areas that might conflict with edge gestures (carousels, maps, drawing canvases), how to handle gesture conflicts (disable edge gesture on specific screens if needed, with explicit justification).","Apple Maps: Supports standard back gesture everywhere except when in full-screen panning mode. Clear modal presentations use swipe-down to dismiss.","Disabling the system back gesture app-wide to implement custom navigation. Or: custom gesture that conflicts with the system back gesture, making it impossible to go back.","All gesture-based navigation must have an equivalent button/tap alternative. VoiceOver/TalkBack users navigate via accessibility actions, not gestures."
