"No","Rule Name","Platform","Keywords","Category","Guideline Reference","Requirement","Impact If Violated","PRD Action Required","Common Mistakes"
"11","Push Notification Guidelines","iOS + Android","push, notification, promotional, marketing, transactional, notification abuse, engagement","Engagement","Apple: HIG Notifications. Google: FCM Best Practices","Push notifications must provide value to the user. Excessive promotional notifications, notifications used solely for advertising, or notifications that trick users into opening the app are grounds for rejection (iOS) or policy violation (Android).","iOS: App rejection. Both: Users disable notifications or uninstall. App store reviews citing 'spam.'","PRD must specify: notification categories (transactional vs promotional), frequency caps per category, user control (per-category toggles), quiet hours support. Never send promotional push without explicit user opt-in for that category.","Using push for pure advertising. Not providing per-category notification controls. Sending notifications during sleeping hours. No frequency caps."
"12","Accessibility Requirements","iOS + Android","accessibility, a11y, voiceover, talkback, wcag, dynamic type, font size, color contrast, assistive","Accessibility","Apple: HIG Accessibility. Google: Material Accessibility. WCAG 2.1 AA","Apps should support: VoiceOver (iOS) / TalkBack (Android) screen readers, Dynamic Type (iOS) / font scaling (Android), sufficient color contrast (4.5:1 for text), touch targets ≥44x44pt. While not a hard rejection criterion, Apple features apps with good accessibility.","Missed App Store featuring opportunity. Legal liability (ADA lawsuits for mobile apps are increasing). Exclusion of 15% of global population with disabilities.","PRD must include: accessibility section with VoiceOver/TalkBack testing plan, Dynamic Type support for all text, color contrast compliance (4.5:1), minimum touch targets (44x44pt iOS, 48x48dp Android), meaningful labels for all interactive elements.","Treating accessibility as post-launch. Not testing with screen readers. Using color as the only indicator of state. Making touch targets too small."
"13","App Size Limits","iOS + Android","app size, download size, binary size, cellular download, app thinning, aab, bundle","Distribution","Apple: 200MB cellular download limit. Google: recommended <150MB (AAB)","iOS: Apps >200MB cannot be downloaded over cellular without user confirmation. Android: Large apps have lower install rates. Both platforms recommend keeping apps as small as possible for conversion.","Reduced install conversion rate (every 10MB increase costs ~1% installs in emerging markets). iOS cellular download warning reduces impulse installs.","PRD must specify: target app download size. If >100MB, document why and plan for reduction. Include app size as a non-functional requirement. Plan for asset optimization (image compression, code splitting, on-demand resources).","Including high-resolution assets for all device sizes. Bundling unused libraries. Not using App Thinning (iOS) or Android App Bundles."
"14","Screenshot and Preview Guidelines","iOS + Android","screenshot, preview, app store listing, aso, store page, marketing, video preview","Distribution / Marketing","Apple: App Store Product Page Guidelines. Google: Store Listing Requirements","App store screenshots must accurately represent the app. Misleading screenshots or previews are grounds for rejection. Screenshots must show actual app UI (not conceptual mockups).","App rejection. User complaints of misleading listings. Negative reviews citing 'doesn't match screenshots.'","PRD for launch must include: screenshot plan (5-10 screens showing key features), preview video spec (15-30s, shows actual UI), localization plan for screenshots in target markets. Screenshots should be finalized after UI is feature-complete, not during design.","Using pre-design mockups as final screenshots. Not updating screenshots when UI changes significantly. Not localizing screenshots for non-English markets."
"15","Children and Family Policies","iOS + Android","children, kids, coppa, family, age gate, parental consent, education, child safety","Compliance","Apple: Kids Category Requirements. Google: Families Policy","Apps targeting children have strict requirements: no behavioral advertising, parental consent for data collection (COPPA), no external links without parental gate, age-appropriate content only. Apps in Kids category have additional restrictions.","App removal. FTC fines for COPPA violations (fines can be millions). Reputational damage.","If targeting children: PRD must include age gate mechanism, parental consent flow, compliant advertising approach (no behavioral ads), data minimization plan. State clearly whether the app targets children in the App Store Compliance section.","Not implementing age verification. Using standard ad SDKs that track children. Collecting data without parental consent. Including external links without parental gate."
"16","Subscription Management","iOS + Android","subscription, cancel, manage, auto-renew, billing, refund, subscription management","Monetization","Apple: 3.1.2 Subscriptions. Google: Subscriptions Policy","Apps must clearly communicate: subscription price, billing period, auto-renewal terms, and cancellation instructions. iOS: must link to subscription management. Both: must honor cancellations and not charge after cancellation.","App rejection. User complaints. Regulatory fines (FTC has fined companies for dark pattern subscription practices).","PRD must specify: subscription terms displayed before purchase, easy cancellation path (Settings > Manage Subscription link), grace period handling (3-day on iOS, configurable on Android), billing retry for failed payments, clear communication of price changes.","Hiding cancellation flow. Not communicating auto-renewal terms. Not handling billing failures gracefully. Not supporting subscription upgrades/downgrades."
"17","Deep Link and Universal Link Requirements","iOS + Android","deep link, universal link, app link, associated domains, intent filter, url handling","Navigation","Apple: Universal Links. Google: Android App Links","Universal Links (iOS) and App Links (Android) require server-side configuration (apple-app-site-association / assetlinks.json). Both platforms prioritize verified deep links over custom URL schemes.","Broken deep links lead to web fallback instead of app opening. User confusion when links don't work. Reduced conversion from external channels (email, social, ads).","PRD must specify: all deep link paths and their in-app destinations. Server-side configuration requirements (AASA file for iOS, assetlinks.json for Android). Fallback behavior for each link when app is not installed. Testing plan for both platforms.","Using custom URL schemes instead of Universal Links / App Links. Not configuring server-side verification files. Not handling the case where app is not installed (deferred deep link)."
"18","Biometric Authentication Guidelines","iOS + Android","biometric, face id, touch id, fingerprint, local authentication, keychain, keystore, secure enclave","Security","Apple: LocalAuthentication Framework. Google: BiometricPrompt API","Biometric data must never leave the device. Use platform APIs (LocalAuthentication on iOS, BiometricPrompt on Android). Always provide a non-biometric fallback (PIN, password). Don't store biometric data — store authentication tokens in Keychain/Keystore.","Security vulnerabilities if biometric data is mishandled. App rejection if using non-standard biometric APIs. User trust damage.","PRD must specify: which actions require biometric auth, fallback authentication method, session timeout before re-auth, secure storage mechanism (Keychain/Keystore), behavior when biometric hardware is not available.","Storing biometric data in app storage. Not providing a fallback for devices without biometric hardware. Using third-party biometric libraries instead of platform APIs."
"19","Widget and Extension Guidelines","iOS + Android","widget, home screen, lock screen, live activity, app extension, glance, complication","Engagement","Apple: WidgetKit Guidelines. Google: App Widgets Guidelines","Widgets must be lightweight, load quickly, and provide glanceable information. iOS: WidgetKit is the only supported framework (no web views in widgets). Android: RemoteViews with size limits. Both: widgets should not require authentication to display useful information.","Poor widget performance = negative app perception. iOS: Widgets that fail to load show a blank placeholder. Android: Widgets that crash may be removed by the system.","PRD for widget features must specify: widget sizes supported, content refresh frequency, data source (cached vs API), behavior when user is not logged in, behavior when offline. Include widget as a separate user story, not bundled with the main feature.","Building overly complex widgets. Requiring login to show any widget content. Not handling offline state. Refreshing too frequently (kills battery)."
"20","App Review Submission Best Practices","iOS","app review, submission, review notes, demo account, test flight, review time, metadata","Distribution","Apple: App Review Guidelines (General)","Provide demo credentials for reviewers, include detailed review notes explaining new features, ensure all features are testable without special hardware or accounts. Average review time is 24-48h but can be longer for complex apps.","Extended review times. Rejection for untestable features. Delayed launches. Having to prepare emergency resubmission materials.","PRD launch section must include: app review preparation checklist, demo account credentials for reviewers, review notes template explaining each new feature, list of features that require special setup to test, timeline buffer (3-5 days) for review + potential rejection + resubmission.","Not preparing demo credentials. Not writing review notes. Not accounting for review time in launch timeline. Not preparing for potential rejection and resubmission cycle."
