No,Metric Name,Keywords,Category,Product Stage,SaaS Type,Definition,Formula / Measurement,Target Benchmark,Why It Matters,Anti-Metric Warning
17,D1 / D7 / D30 Retention,"d1, d7, d30, retention, cohort, day 1, day 7, day 30, return, comeback, mobile retention",Retention,Launch + Growth,Mobile SaaS / Consumer,"Percentage of users who return to the app on Day 1, Day 7, and Day 30 after first use","(Users who open app on Day N) / (Users who installed on Day 0 in same cohort) × 100. Use Firebase or Amplitude cohort analysis.","D1: 40-60%; D7: 20-35%; D30: 10-20% for mobile apps. Top 10% apps: D1 >65%, D30 >25%","Retention curves are the single most important mobile metric. If D1 is low, onboarding failed. If D7 drops sharply, the core loop isn't engaging. If D30 is flat, you have product-market fit.","Don't compare retention across app categories — a utility app (calculator) and a social app (Instagram) have fundamentally different natural usage frequencies."
18,Crash-Free Session Rate,"crash, stability, anr, error, bug, reliability, crash free, mobile stability",Quality / Reliability,All Stages,Mobile SaaS,Percentage of app sessions that complete without a crash or ANR (Application Not Responding),"(Total sessions - Sessions with crash/ANR) / (Total sessions) × 100. Track via Firebase Crashlytics or Sentry.","≥99.5% is table stakes for App Store featuring; ≥99.9% is excellent; <99% requires immediate action","Crashes directly impact app store ratings, user trust, and retention. Apple and Google use crash rates in store ranking algorithms. Every 0.1% improvement matters.","Crash-free session rate hides crash-free user rate — 1 user crashing 50 times inflates session crash rate. Track both."
19,App Store Rating,"app store, rating, review, stars, play store, ios rating, android rating, user review",User Satisfaction,All Stages,Mobile SaaS,Average star rating of the app on iOS App Store or Google Play Store,"Average of all user ratings. Weighted by recency (recent ratings matter more for store ranking).","≥4.5 stars for top-tier apps; ≥4.0 is acceptable; <3.5 requires urgent attention","App store rating directly affects download conversion rate (every 0.1 star matters), store search ranking, and brand perception. Apple features apps with 4.5+ ratings.","Don't focus only on the average — read 1-star reviews for actionable issues. A 4.5 average with recurring complaints about one feature means that feature is broken for a segment."
20,Push Notification Opt-In Rate,"push, notification, opt-in, permission, allow, subscribe, fcm, apns, mobile notification",Engagement,Launch + Growth,Mobile SaaS,Percentage of app users who grant push notification permission,"(Users who granted push permission) / (Users who were prompted) × 100. Track via Firebase or OneSignal.","60-70% opt-in with pre-permission screen; 40-50% without; iOS tends 10-15% lower than Android","Push notifications are the #1 re-engagement channel for mobile apps. Low opt-in rate means you lose your primary tool for bringing users back. A well-designed pre-permission screen can increase opt-in by 30%.","High opt-in is useless if you spam users — track notification-driven uninstalls alongside opt-in rate. Also track opt-out rate over time."
21,App Cold Start Time,"cold start, launch time, startup, load time, performance, ttid, mobile performance",Performance,All Stages,Mobile SaaS,Time from user tapping the app icon to the first interactive screen being fully rendered,"Measure time from process creation to first meaningful paint (FMP). Use Firebase Performance Monitoring or custom trace.","<2s is good; <1s is excellent; >3s loses 20%+ of users. Apple recommends <400ms for 'instant' feel","Every 100ms added to startup time reduces engagement. Users expect mobile apps to be instant. Slow cold start is the #1 cause of 'tried once, never came back'.","Cold start on a developer's iPhone 15 Pro is not representative. Test on 3-year-old mid-range devices with limited RAM. Always measure P95, not average."
22,Session Length & Frequency,"session, length, duration, frequency, time in app, engagement, usage, daily sessions",Engagement,Growth + Scale,Mobile SaaS,Average time per session and average number of sessions per user per day/week,"Session length: median time from app_open to app_background/close. Frequency: sessions per user per day/week. Track via analytics SDK.","Varies by category. Social: 5-8 sessions/day, 3-5 min each. Utility: 1-2/day, <1 min. Shopping: 2-3/week, 5-8 min. Health: 1/day, 3-10 min.","Session length × frequency = total engagement. Optimizing one at the expense of the other is usually wrong. Short frequent sessions signal habit; long infrequent sessions signal occasional utility.","Don't optimize for session length in isolation — forcing users to stay longer (dark patterns, infinite scroll) increases time-in-app but may decrease satisfaction and long-term retention."
23,App Size,"app size, download size, install size, binary size, bundle size, storage, mobile app size",Performance / Growth,All Stages,Mobile SaaS,Download size of the app binary from the App Store / Play Store,"Check App Store Connect (iOS) or Play Console (Android) for download and install size. Use Android App Bundles and iOS App Thinning.","<50MB for download; <100MB for install size. Apps >150MB see significant download abandonment, especially on cellular","Large app size kills conversion in emerging markets with limited storage and slow networks. Every 10MB increase reduces install rate by ~1% in markets like India, Brazil, SEA.","Download size and install size are different — iOS App Thinning and Android App Bundles reduce download size. Always check the actual download size, not the project build size."
24,Deep Link Conversion Rate,"deep link, universal link, app link, deferred deep link, attribution, install, open",Growth / Activation,Growth + Scale,Mobile SaaS,"Percentage of deep link clicks that result in the intended in-app action (for installed users) or app install + action (for non-installed users)","(Users who completed intended action via deep link) / (Total deep link clicks) × 100. Track via Branch, Adjust, or AppsFlyer.","Installed users: 60-80% completion; Non-installed (deferred): 15-30% install + complete","Deep links are the bridge between web/email/social and your app. Poor deep link handling means users land on the wrong screen or get stuck — killing conversion from your highest-intent channels.","Don't count 'app opened' as conversion — measure whether the user reached the intended content/action. Deferred deep links (install → open to correct screen) need special tracking."
25,Uninstall Rate,"uninstall, remove, delete, churn, mobile churn, app removal",Retention / Churn,All Stages,Mobile SaaS,Percentage of installed users who uninstall the app in a given period,"(Users who uninstalled in period) / (Total installed users at start of period) × 100. Track via Firebase or MMP (Adjust, AppsFlyer).","<3%/month is good; 3-5% is average; >5% requires investigation. First 7 days account for 50%+ of uninstalls","Uninstall is the ultimate churn signal for mobile — it's harder to win back than web churn (user must re-download). High early uninstall means onboarding or first experience failed. High late uninstall means core value eroded.","Uninstall tracking on iOS is limited (no direct callback). Use Firebase or MMP silent push detection. Android provides clearer uninstall signals via Play Console."
26,In-App Purchase Conversion,"iap, in-app purchase, paywall, subscription, premium, monetization, purchase, mobile revenue",Revenue,Growth + Scale,Mobile SaaS,"Percentage of users who encounter a paywall or premium prompt and convert to a paid subscription or one-time purchase","(Users who completed purchase) / (Users who viewed paywall/offer) × 100. Track via RevenueCat, StoreKit, or Google Play Billing.","Subscription: 2-8% of prompted users; Higher for hard paywalls (10-15%) but with higher churn. Free trial to paid: 40-60%","IAP is the revenue engine for consumer mobile. Paywall placement, copy, and timing are the highest-leverage conversion levers. A/B test relentlessly.","High paywall conversion with a hard paywall often comes with higher churn — users who converted under pressure don't retain. Track D30 retention of converted users alongside conversion rate."
27,Widget / Quick Action Usage,"widget, quick action, shortcut, 3d touch, haptic, home screen, lock screen, live activity",Engagement / Utility,Growth + Scale,Mobile SaaS,Percentage of users who interact with app widgets or quick actions on their device home screen,"(Users who triggered widget_interaction or quick_action event) / (MAU) × 100. Track via custom analytics events.","10-25% of MAU for well-promoted widgets. Top utility apps: 30%+","Widgets extend your app's presence beyond the app itself — users see your content without opening the app. High widget usage correlates with higher D30 retention and DAU/MAU.","Widget usage depends on discoverability — if users don't know your widget exists, adoption will be near zero. Prompt during onboarding or after the user establishes a usage pattern."
28,Background Sync Success Rate,"sync, background, refresh, data sync, background fetch, offline sync",Reliability,All Stages,Mobile SaaS,Percentage of background sync operations that complete successfully without error,"(Successful background sync operations) / (Total background sync attempts) × 100. Log sync_start and sync_complete events.","≥95% success rate; <90% requires investigation. iOS background fetch has OS-imposed limits that reduce frequency","Users expect their data to be up-to-date when they open the app. Failed background syncs mean stale data and manual refresh — a broken feeling. iOS is more restrictive than Android for background execution.","High sync success rate doesn't mean frequent syncs. iOS throttles background fetch based on usage patterns. An app opened once a week may only get 1 background fetch/day. Design for eventual consistency."
