No,Product Type,Keywords,PRD Template,Recommended Depth,Sections Order,Primary Personas,Metric Focus,Key Considerations,Common Out-of-Scope Mistakes
11,Vertical SaaS - HR / People,"hr, human resources, people, payroll, hiring, ats, onboarding, performance, engagement",full-feature-prd,Medium (4-8 pages),"Problem > HR Personas > Employee Journey > Workflow > Compliance > Requirements > Design > Launch","HR Admin, Manager, Employee, Recruiter, Payroll Specialist","Time-to-hire, employee NPS (eNPS), payroll accuracy rate, onboarding completion rate","Employee data is sensitive — privacy and role-based access are mandatory. Workflows must align to HR calendar (payroll cycles, review periods). Compliance by region matters.","Payroll tax calculation internals, benefits carrier integrations, jurisdiction-specific rules"
12,Data / Analytics Platform,"data, analytics, bi, business intelligence, reporting, dashboard, warehouse, pipeline","full-feature-prd",Medium (5-9 pages),"Problem > Data Consumer Personas > Key Questions to Answer > Data Model > Visualization > Performance > Access Control > Out of Scope","Analyst, Data Engineer, Business Stakeholder, Executive","Dashboard adoption rate, query performance (p95), data freshness, self-serve rate, time-to-insight","Answer specific business questions, not just display data. Performance at scale is a feature. Self-serve lowers data team burden. Guardrail: data accuracy must not regress.","ETL pipeline engineering, data warehouse architecture, real-time streaming (unless specified)"
13,Internal Tools / Admin,"internal, admin, ops, back-office, tooling, dashboard, workflow",one-pager-prd,Short (1-3 pages),"Problem > Internal User Personas > Key Workflows > Requirements > Access Control > Out of Scope","Operations Staff, Customer Support, Finance, Engineering","Task completion time, error rate, manual work eliminated, support resolution time","Speed over aesthetics. Solve the exact workflow problem. Audit trail and access control are usually required. Avoid over-engineering.","Customer-facing changes, API endpoints for external use, high availability SLA"
14,Mobile-First SaaS,"mobile, app, ios, android, smartphone, phone, tablet, native, cross-platform, react native, flutter, swift, kotlin",mobile-saas-prd,Medium (5-9 pages),"Problem > Mobile User Context > Personas > App Journey Map > Activation Moment > User Stories > Push & Engagement > Offline Strategy > Platform Requirements (iOS/Android) > Metrics > Edge Cases > App Store Compliance > Launch & Rollout","Mobile End User, Power User, Admin (web), Free Tier User","DAU/MAU ratio, D1/D7/D30 retention, session length, crash-free rate, app store rating, push opt-in rate, app size","Mobile-first means mobile-only thinking. Every feature must work on a 5-inch screen. Offline is not optional. Push notifications are your re-engagement lifeline. App store review guidelines constrain everything. Performance budget: cold start <2s, app size <50MB.","Desktop feature parity, admin panel in mobile app, complex data entry forms, real-time streaming (use polling), tablet-specific layouts in V1"
15,Mobile Marketplace,"mobile marketplace, on-demand, delivery, rideshare, food delivery, service marketplace, gig, booking, reservation",mobile-saas-prd,Medium (5-9 pages),"Problem > Two-Sided Mobile Personas > Location/Map Flow > Transaction Flow > Trust & Safety > Push & Notification Strategy > Offline Resilience > Metrics > Edge Cases > Launch","Buyer/Consumer, Seller/Provider, Admin","GMV, take rate, order completion rate, time-to-match, provider utilization, D7 retention, app store rating","Location and real-time are central. Both sides need a mobile experience. Trust signals (ratings, reviews, verification) are critical on mobile. Push notifications drive engagement on both sides. Payment must be frictionless (Apple Pay, Google Pay).","Web dashboard for providers, complex reporting, multi-country expansion, payment processor integration details"
16,Mobile Fintech,"mobile fintech, mobile banking, mobile payment, digital wallet, neobank, investment app, crypto, trading, transfer, money",mobile-saas-prd,Long (8-15 pages),"Problem > Regulatory Context > Mobile Personas > Security Architecture > KYC/AML Flow > Transaction Flow > Biometric Auth > Push Alerts > Compliance > Offline Behavior > Metrics > Launch","Consumer, Business User, Compliance Officer","Transaction success rate, fraud rate, MAU, session frequency, biometric auth adoption, app store rating, time-to-first-transaction","Security is THE product. Biometric auth is mandatory. Every screen must consider screenshot blocking for sensitive data. PCI-DSS and local regulations constrain design. Transaction confirmation flows must prevent accidental sends. Push for transaction alerts is expected.","Core banking integration details, regulatory filings, multi-jurisdiction rollout, crypto custody architecture"
17,Mobile Health / Wellness,"mobile health, wellness, fitness, meditation, sleep, mental health, health tracker, telehealth, patient app, wearable",mobile-saas-prd,Medium (5-9 pages),"Problem > Health Context > Patient/User Personas > Health Data Flow > Privacy & Compliance (HIPAA if applicable) > Wearable Integration > Notification Strategy > Offline Data Capture > Metrics > Edge Cases > Launch","Patient/User, Healthcare Provider, Caregiver, Admin","Daily active users, health metric tracking adherence, session completion rate, D30 retention, app store rating, NPS, wearable sync success rate","Health data is maximally sensitive — encryption everywhere, minimal data collection. Wearable integration (HealthKit, Google Fit) is often expected. Offline data capture and sync is critical for field use. Accessibility is non-negotiable (elderly users, visual impairments). Notifications must be helpful not anxiety-inducing.","Medical device certification, FDA compliance (unless required), EHR integration, clinical trial data management"
18,Mobile Social / Community,"social, community, chat, messaging, feed, content, creator, ugc, video, photo, sharing, social network, forum",mobile-saas-prd,Medium (5-9 pages),"Problem > Social Context > Creator & Consumer Personas > Content Flow > Feed Algorithm > Moderation & Safety > Push & Engagement Loop > Viral Mechanics > Metrics > Edge Cases > Launch","Content Creator, Consumer/Viewer, Moderator, Admin","DAU/MAU, time-in-app, content creation rate, viral coefficient, D1/D7 retention, report-to-action time, app store rating","Content moderation is not optional — plan for it from day 1. Feed ranking defines the product experience. Push notifications drive the engagement loop. Camera/media quality matters. Viral mechanics (sharing, invites) are growth levers. Real-time features (chat, live) need careful performance planning.","Web app feature parity, admin moderation dashboard (separate project), advanced recommendation algorithm, monetization/ads framework"
19,Mobile E-commerce / Shopping,"ecommerce, shopping, retail, store, cart, checkout, product catalog, order, mobile commerce, m-commerce",mobile-saas-prd,Medium (5-9 pages),"Problem > Shopping Context > Buyer Personas > Product Discovery Flow > Cart & Checkout > Payment Integration > Push & Re-engagement > Order Tracking > Metrics > Edge Cases > Launch","Shopper, Returning Customer, Guest Buyer, Merchant/Admin","Conversion rate, cart abandonment rate, AOV, D30 retention, push-driven revenue, app store rating, session-to-purchase time","Checkout must be <3 taps from cart. Apple Pay / Google Pay are table stakes. Push for abandoned carts and price drops drives revenue. Product images must load fast on slow connections. Search and discovery UX is critical on small screens. Guest checkout is required.","Inventory management system, warehouse logistics, supplier portal, full CMS for product pages"
20,Mobile EdTech / Learning,"mobile learning, mobile education, language app, course app, quiz, flashcard, study, tutoring, mobile lms",mobile-saas-prd,Medium (4-8 pages),"Problem > Learning Context > Learner Personas > Learning Path Design > Session Flow > Gamification & Streaks > Push & Habit Formation > Offline Content > Metrics > Edge Cases > Launch","Student/Learner, Instructor, Parent (if K-12), L&D Admin","Lesson completion rate, streak length, D7/D30 retention, daily session count, learning outcome improvement, app store rating","Habit formation is the product strategy. Streaks and gamification drive retention. Content must work offline (downloaded lessons). Sessions should be short (5-15 min) for mobile. Push notifications for streak reminders are critical. Progress visualization motivates continued use.","Full LMS admin panel, content authoring tool, assessment certification system, institution management"
21,Mobile Productivity / Utility,"productivity, utility, tool, task, calendar, note, document, scanner, calculator, timer, organizer, planner",mobile-saas-prd,Short (2-5 pages),"Problem > Utility Context > User Personas > Core Workflow > Widget & Quick Actions > Offline First > Metrics > Out of Scope > Launch","Daily User, Power User, Free Tier User","DAU/MAU, session frequency, task completion rate, widget usage, D30 retention, app store rating, conversion to premium","One job done extremely well. Cold start must be <1s. Widget support (iOS/Android) extends utility beyond the app. Offline-first is mandatory for productivity tools. Minimal UI — every tap counts. Keyboard shortcuts and accessibility are differentiators.","Desktop app, web app, team collaboration features, third-party integrations beyond core"
22,Super App / Multi-Service,"super app, multi-service, all-in-one, mini program, platform, ride food pay, multi-feature",mobile-saas-prd,Long (8-15 pages),"Problem > Platform Context > Service Map > User Personas per Service > Cross-Service Flow > Wallet/Payment > Push Strategy per Service > Performance Budget > Metrics per Service > Launch Strategy","Consumer, Service Provider, Merchant, Platform Admin","MAU across services, cross-service adoption rate, wallet adoption, transaction volume, D30 retention, app size, cold start time","App size is the #1 risk — use modular loading. Each mini-service must feel native. Cross-service discovery drives platform value. Single wallet/payment reduces friction. Push strategy must not spam — coordinate across services. Performance budget per module is critical.","Individual service admin panels, merchant onboarding portal, regulatory compliance per service vertical, payment processor integration details"
23,SaaS with Mobile Companion,"companion app, mobile extension, web-first mobile, mobile add-on, sync, mobile view, mobile access",mobile-saas-prd,Short (2-5 pages),"Problem > Mobile Context (when/where) > Personas > Mobile-Specific Use Cases > Sync Strategy > Push Notifications > Offline Subset > Metrics > Out of Scope > Launch","Mobile User (existing web user), Admin (web only), Field Worker","Mobile DAU / Web DAU ratio, mobile-specific feature adoption, sync success rate, push-driven return-to-web, app store rating","Mobile companion is NOT a responsive web app — it's a purpose-built tool for mobile contexts (commute, field, meeting). Identify the 3-5 things users need on mobile and do only those. Sync must be seamless. Push notifications bridge mobile ↔ web engagement.","Full feature parity with web app, admin features, complex data entry, reporting/analytics dashboards"
24,AI Mobile App,"ai mobile, ai app, ai assistant, chatbot app, ai camera, ai photo, ai voice, ai recommendation, on-device ai, mobile ml",ai-mobile-prd,Medium (5-9 pages),"Problem > AI Use Case on Mobile > User Personas > Model Behavior Spec > On-Device vs Cloud Decision > Confidence & Fallback > Privacy & Data > Push & Re-engagement > Offline AI Capability > Metrics > Edge Cases > Launch","AI Consumer User, Power User, Privacy-Conscious User","Task completion rate, AI accuracy/quality score, latency (on-device vs cloud), user override rate, D7 retention, app store rating, privacy opt-in rate","On-device vs cloud is the fundamental architecture decision. Latency expectation is <500ms for on-device, <2s for cloud. Privacy is paramount — be explicit about what data leaves the device. Fallback when AI confidence is low must be graceful. Model size impacts app size and download time.","Model training pipeline, ML ops infrastructure, A/B testing framework for model variants, data labeling tools"
